epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.274,3.14386,4.14145,3.29478,3.75489,0.03453,0.08181,0.02033,0.00592,0.05665,0.05128,0.02315,0.00683,2.60185,4.23688,3.32638,3.46425,0.000665278,0.000665278,0.000665278
2,91.2466,2.58782,3.13412,2.71211,3.04033,0.12278,0.21978,0.10122,0.03685,0.118,0.21123,0.09095,0.03533,2.23321,3.24247,3.04416,2.95499,0.00130997,0.00130997,0.00130997
3,134.285,2.10997,2.79004,2.24811,2.57727,0.41621,0.41758,0.3588,0.16303,0.40285,0.40781,0.34266,0.16695,1.94268,3.48593,2.34498,2.7284,0.00193266,0.00193266,0.00193266
4,176.216,1.80628,2.66701,1.9674,2.29424,0.49226,0.46886,0.44278,0.22997,0.5011,0.46032,0.42795,0.23178,1.65734,2.8748,2.20481,2.33102,0.001901,0.001901,0.001901
5,219.112,1.60043,2.52711,1.78473,2.07494,0.54126,0.49817,0.51463,0.30478,0.55258,0.46886,0.49239,0.28706,1.52417,2.81175,1.8706,2.20636,0.001868,0.001868,0.001868
6,261.517,1.49561,2.39496,1.65401,1.9509,0.58764,0.50634,0.55029,0.33968,0.58021,0.4823,0.52676,0.31605,1.43611,2.72004,1.79018,2.06947,0.001835,0.001835,0.001835
7,302.981,1.41077,2.37423,1.55862,1.86377,0.64286,0.53189,0.59528,0.36941,0.64426,0.5348,0.57751,0.33347,1.34707,2.69882,1.72505,1.91706,0.001802,0.001802,0.001802
8,344.703,1.31003,2.27427,1.46966,1.77398,0.63984,0.61661,0.66048,0.43425,0.64833,0.61677,0.64428,0.40717,1.21142,2.38992,1.45774,1.80764,0.001769,0.001769,0.001769
9,386.571,1.26987,2.21368,1.38654,1.7182,0.66152,0.58464,0.64796,0.42692,0.62938,0.60961,0.64202,0.40611,1.21305,2.4092,1.5396,1.80228,0.001736,0.001736,0.001736
10,429.323,1.23754,2.14947,1.34466,1.67042,0.66837,0.62997,0.68054,0.46591,0.67199,0.62027,0.66288,0.41247,1.11845,2.48405,1.4098,1.68736,0.001703,0.001703,0.001703
